Country Name,Country Code,Series Name,Series Code,Series_type,2021 [YR2021],2022 [YR2022],2023 [YR2023]
China,CHN,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,"GDP, PPP",2.88E+13,2.97E+13,3.12E+13
China,CHN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"GDP, PPP",2.88E+13,3.18E+13,3.47E+13
China,CHN,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,GDP: linked series,1.15E+14,1.20E+14,1.26E+14
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Inflation, consumer prices",0.981015136,1.973575557,0.234836829
China,CHN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator",4.552326579,1.823677107,-0.582393794
China,CHN,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,"Inflation, GDP deflator: linked series",4.552326579,1.823677107,-0.582393794
China,CHN,Trade (% of GDP),NE.TRD.GNFS.ZS,Trade,37.30199087,38.35148208,37.31677136
China,CHN,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,Trade in services,4.376980703,4.65518874,4.899991756
China,CHN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,"Foreign direct investment, net",-1.65E+11,19846371667,1.43E+11
China,CHN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows",1.930786223,1.06367353,0.240113517
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows",3.44E+11,1.90E+11,42727679407
China,CHN,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows",1.003328449,1.174660069,1.041324581
China,CHN,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows",1.79E+11,2.10E+11,1.85E+11
China,CHN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total",3.988325119,4.023569584,..
China,CHN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total",10.85031796,10.50490284,..
China,CHN,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,"Government expenditure per student, primary",..,..,..
China,CHN,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,"Government expenditure per student, secondary",..,..,..
China,CHN,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,"Government expenditure per student, tertiary",..,..,..
China,CHN,Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,Gross national expenditure deflator,104.5215158,106.2508276,106.0653246
China,CHN,Gross national expenditure (current US$),NE.DAB.TOTL.CD,Gross national expenditure,1.73E+13,1.73E+13,1.74E+13
China,CHN,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,Gross national expenditure,1.12E+14,1.16E+14,1.23E+14
China,CHN,Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Gross national expenditure,1.07E+14,1.10E+14,1.16E+14
China,CHN,Gross national expenditure (constant 2015 US$),NE.DAB.TOTL.KD,Gross national expenditure,1.51E+13,1.55E+13,1.65E+13
China,CHN,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Gross national expenditure,97.06200273,96.58819111,97.716787
China,CHN,Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN,Households and NPISHs Final consumption expenditure,4.38E+13,4.50E+13,4.93E+13
China,CHN,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Households and NPISHs Final consumption expenditure,4.35E+13,4.38E+13,..
China,CHN,Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD,Households and NPISHs Final consumption expenditure,6.29E+12,6.34E+12,..
China,CHN,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Households and NPISHs Final consumption expenditure,6.79E+12,6.69E+12,6.96E+12
China,CHN,Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,Households and NPISHs Final consumption expenditure,12.2279168,0.843032913,..
China,CHN,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure,38.11356525,37.39181085,39.12852426
China,CHN,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Households and NPISHs Final consumption expenditure per capita,4453.205874,4491.336169,..
China,CHN,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,Households and NPISHs Final consumption expenditure per capita growth,12.12779561,0.856243713,..
